subject,condition,n_trials,kappa,dprime,nll
1,8,75,3.06890784241183,1.83143310683059,336.65504594577
1,16,75,1.54925092923418,2.78744246392152,330.305045158639
1,32,75,1.56941733975267,1.72646000650955,361.913903404982
2,8,75,3.15364758696353,1.42116165467502,362.065977322205
2,16,75,2.62262527054518,1.95924676297136,335.606738737066
2,32,75,2.21506778080692,1.09279726525278,392.190462838089
3,8,75,3.90676752668832,2.14613843274297,315.767206318519
3,16,75,2.72309890267077,2.0592108348757,330.240436304392
3,32,75,0.430885903689582,6,342.989600373175
5,8,75,3.51225502205399,0.883878147566467,405.114469997404
5,16,75,2.08999556005594,1.06894817435788,394.946305103901
5,32,75,3.01484374341351,0.770785104433655,414.135294290813
6,8,75,6.5108271958978,1.28616118159882,366.253597154528
6,16,75,3.33907644391244,1.61618938957472,346.917198644825
6,32,75,2.45497701401923,1.42746187840825,366.107931902302
7,8,75,3.92707283453013,2.90793991163204,295.029371532696
7,16,75,1.53956569188555,6,296.875583380953
7,32,75,1.40070477234234,2.36398092474386,343.316618489662
8,8,75,3.11226974118673,3.20385083008809,298.41568274897
8,16,75,1.00078389349176,6,311.984637283907
8,32,75,2.01299214504753,2.48873377378849,326.977832538033
9,8,75,3.30027776053395,3.30811389795574,294.955150755423
9,16,75,2.03756660617471,2.63695228081259,323.471213273021
9,32,75,1.13891826308414,2.20354939116063,355.960667239938
10,8,75,0.958628999380308,6,313.47858638751
10,16,75,1.38464460146562,3.2245945401045,326.853743396918
10,32,75,2.14682161521077,1.22281718676097,383.347882223439
11,8,75,4.92812015570158,1.55658000396223,344.301785077038
11,16,75,3.30514553399547,1.66467562657339,344.32430988662
11,32,75,1.68985893428412,1.40407594060697,376.778894205504
12,8,75,3.82087081178156,1.88018823798267,328.236873096223
12,16,75,4.21317314094165,1.53379893339633,348.628577059848
12,32,75,2.62000557771199,1.25400952345354,377.50943404648
13,8,75,5.30333359361537,2.19615493191235,304.861804405693
13,16,75,3.19051505753323,2.02977212640757,326.157533452273
13,32,75,0.446653952587687,6,341.69476608449
14,8,75,4.58044541050783,1.67084953976094,336.922367370327
14,16,75,2.88482808761926,1.71041274646746,344.964093301726
14,32,75,2.00607346393701,1.30922902808145,378.870339625054
15,8,75,1.32317308039354,6,302.060385034779
15,16,75,0.885761771196385,6,316.338050613225
15,32,75,2.29983046644505,1.72999352760445,349.961519444589
17,8,75,0.665915046110279,6,326.6640147875
17,16,75,0.75866057074885,4.92279354036397,330.058429940489
17,32,75,1.20119873937785,2.17990856013557,354.685256299301
19,8,75,2.4717855899581,3.98684168346403,296.777679645527
19,16,75,4.25267662463277,1.82775674139008,328.690500278835
19,32,75,3.44087662893401,1.55471958764263,350.430196830773
20,8,75,5.368632239267,2.07130927731272,309.728629104507
20,16,75,1.23801020252817,6,304.479370818997
20,32,75,1.46258802723215,1.82185718070186,360.172482173287
21,8,75,0.922876423548526,6,314.896981027732
21,16,75,3.64047838721551,1.77855535213817,335.007377983578
21,32,75,2.86245921670983,1.39044765015946,365.946851848408
22,8,75,3.93373772635226,2.09586375567992,317.37252810577
22,16,75,4.29262953264349,1.44894847692189,355.026882724204
22,32,75,3.14605079469668,1.14097286128365,384.442834590652
23,8,75,1.5067132140425,4.62111968468639,307.998837419544
23,16,75,0.682924321067218,6,325.782349515987
23,32,75,1.38962692016474,1.98683815855569,355.632918171819
24,8,75,2.86462413842583,0.990790952476398,397.467134474862
24,16,75,2.5469400329377,0.858806542475183,408.335238893217
24,32,75,2.61127326780578,0.751390482903297,415.77502850694
25,8,75,3.61083340515401,1.72658663624958,338.355526270504
25,16,75,2.24958600304522,2.51962167473985,322.542964591079
25,32,75,1.25975843110705,1.66128370330298,372.213772196687
26,8,75,3.29291283271086,1.63684201060706,346.271355182527
26,16,75,2.32545627442853,1.58911597339966,357.64994901723
26,32,75,1.73756847033363,1.62817401279906,363.499593369246
27,8,75,4.67620853812604,2.43934449482564,300.18394567604
27,16,75,3.86139461895005,2.29755989917669,310.594675358443
27,32,75,1.99731400744488,1.88622460898491,346.940317151513
29,8,75,2.33801817551197,2.55789599301838,319.950049050282
29,16,75,3.26394305817566,1.97063918247204,328.011848577969
29,32,75,2.28196563598575,1.37847169591246,371.388496892937
31,8,75,1.89419358112326,6,289.583680452233
31,16,75,1.3181053235078,6,302.188553540477
31,32,75,2.43783465789355,1.72100766452683,348.796761386051
33,8,75,4.29446254042934,2.13264401542026,313.427320245414
33,16,75,0.964257023657616,6,313.321006704003
33,32,75,0.487577548722976,6,338.251695821492
35,8,75,4.05896393353477,2.49680063646472,302.757800944276
35,16,75,2.5989416795435,2.57530673985683,316.116669194082
35,32,75,0.490364271517507,6,338.113662175288
37,8,75,2.39364990163365,1.86878828617654,342.376863587977
37,16,75,2.95610122681464,1.4471970534722,361.04808609314
37,32,75,1.56826833252871,1.4646497110229,375.604929769325
39,8,75,2.72996901709305,3.04424784638689,305.370982760287
39,16,75,1.01500219467058,6,311.456948616397
39,32,75,0.548044922524198,6,333.905234646339
41,8,75,2.10331725183388,1.7320908383087,352.319487087175
41,16,75,2.49067752523154,1.70561288011068,349.022483979895
41,32,75,1.46018788907532,1.83266749496143,359.814177390019
43,8,75,5.99081832902247,2.03831231513118,309.039901034978
43,16,75,1.68341080545909,3.84190640351887,311.863547485767
43,32,75,1.85274336916663,1.55872807983385,365.496683911205
45,8,75,1.09247464857552,3.01833940504535,339.044077626071
45,16,75,1.87551287893845,1.89563296290118,348.688294238829
45,32,75,0.848237652125727,1.84711925817566,379.300360769671
47,8,75,3.22652097355956,1.93429196742522,329.975142412418
47,16,75,2.88464108847146,1.73637337490025,343.531007157663
47,32,75,1.3420739252804,1.6247248142259,371.996237297806
49,8,75,3.01598623284946,1.75162766178183,341.434661512937
49,16,75,2.22288875141269,2.06226506172724,336.76260318424
49,32,75,2.19075231817568,1.66204694077791,355.253588010215
51,8,75,2.68383680918542,2.0304579099346,331.295835538657
51,16,75,4.38868144274012,1.67264654427345,337.732530841834
51,32,75,3.03777321876062,1.19446305706076,380.227544635383
53,8,75,4.90761040934263,1.47913233742042,351.082751118988
53,16,75,3.6368344807705,1.58953158830921,347.20714387704
53,32,75,2.86285978644062,1.09194786981423,389.108137978702
55,8,75,0.788783459084518,6,320.531833591991
55,16,75,0.508053577911217,6,336.693742840428
55,32,75,0.79111850563305,2.54529001176186,361.082549517178
