subject,condition,n_trials,kappa,dprime,nll
1,8,75,NaN,NaN,Inf
1,16,75,NaN,NaN,Inf
1,32,75,NaN,NaN,Inf
2,8,75,NaN,NaN,Inf
2,16,75,NaN,NaN,Inf
2,32,75,NaN,NaN,Inf
3,8,75,NaN,NaN,Inf
3,16,75,NaN,NaN,Inf
3,32,75,NaN,NaN,Inf
5,8,75,NaN,NaN,Inf
5,16,75,NaN,NaN,Inf
5,32,75,NaN,NaN,Inf
6,8,75,NaN,NaN,Inf
6,16,75,NaN,NaN,Inf
6,32,75,NaN,NaN,Inf
7,8,75,NaN,NaN,Inf
7,16,75,NaN,NaN,Inf
7,32,75,NaN,NaN,Inf
8,8,75,NaN,NaN,Inf
8,16,75,NaN,NaN,Inf
8,32,75,NaN,NaN,Inf
9,8,75,NaN,NaN,Inf
9,16,75,NaN,NaN,Inf
9,32,75,NaN,NaN,Inf
10,8,75,NaN,NaN,Inf
10,16,75,NaN,NaN,Inf
10,32,75,NaN,NaN,Inf
11,8,75,NaN,NaN,Inf
11,16,75,NaN,NaN,Inf
11,32,75,NaN,NaN,Inf
12,8,75,NaN,NaN,Inf
12,16,75,NaN,NaN,Inf
12,32,75,NaN,NaN,Inf
13,8,75,NaN,NaN,Inf
13,16,75,NaN,NaN,Inf
13,32,75,NaN,NaN,Inf
14,8,75,NaN,NaN,Inf
14,16,75,NaN,NaN,Inf
14,32,75,NaN,NaN,Inf
15,8,75,NaN,NaN,Inf
15,16,75,NaN,NaN,Inf
15,32,75,NaN,NaN,Inf
17,8,75,NaN,NaN,Inf
17,16,75,NaN,NaN,Inf
17,32,75,NaN,NaN,Inf
19,8,75,NaN,NaN,Inf
19,16,75,NaN,NaN,Inf
19,32,75,NaN,NaN,Inf
20,8,75,NaN,NaN,Inf
20,16,75,NaN,NaN,Inf
20,32,75,NaN,NaN,Inf
21,8,75,NaN,NaN,Inf
21,16,75,NaN,NaN,Inf
21,32,75,NaN,NaN,Inf
22,8,75,NaN,NaN,Inf
22,16,75,NaN,NaN,Inf
22,32,75,NaN,NaN,Inf
23,8,75,NaN,NaN,Inf
23,16,75,NaN,NaN,Inf
23,32,75,NaN,NaN,Inf
24,8,75,NaN,NaN,Inf
24,16,75,NaN,NaN,Inf
24,32,75,NaN,NaN,Inf
25,8,75,NaN,NaN,Inf
25,16,75,NaN,NaN,Inf
25,32,75,NaN,NaN,Inf
26,8,75,NaN,NaN,Inf
26,16,75,NaN,NaN,Inf
26,32,75,NaN,NaN,Inf
27,8,75,NaN,NaN,Inf
27,16,75,NaN,NaN,Inf
27,32,75,NaN,NaN,Inf
29,8,75,NaN,NaN,Inf
29,16,75,NaN,NaN,Inf
29,32,75,NaN,NaN,Inf
31,8,75,NaN,NaN,Inf
31,16,75,NaN,NaN,Inf
31,32,75,NaN,NaN,Inf
33,8,75,NaN,NaN,Inf
33,16,75,NaN,NaN,Inf
33,32,75,NaN,NaN,Inf
35,8,75,NaN,NaN,Inf
35,16,75,NaN,NaN,Inf
35,32,75,NaN,NaN,Inf
37,8,75,NaN,NaN,Inf
37,16,75,NaN,NaN,Inf
37,32,75,NaN,NaN,Inf
39,8,75,NaN,NaN,Inf
39,16,75,NaN,NaN,Inf
39,32,75,NaN,NaN,Inf
41,8,75,NaN,NaN,Inf
41,16,75,NaN,NaN,Inf
41,32,75,NaN,NaN,Inf
43,8,75,NaN,NaN,Inf
43,16,75,NaN,NaN,Inf
43,32,75,NaN,NaN,Inf
45,8,75,NaN,NaN,Inf
45,16,75,NaN,NaN,Inf
45,32,75,NaN,NaN,Inf
47,8,75,NaN,NaN,Inf
47,16,75,NaN,NaN,Inf
47,32,75,NaN,NaN,Inf
49,8,75,NaN,NaN,Inf
49,16,75,NaN,NaN,Inf
49,32,75,NaN,NaN,Inf
51,8,75,NaN,NaN,Inf
51,16,75,NaN,NaN,Inf
51,32,75,NaN,NaN,Inf
53,8,75,NaN,NaN,Inf
53,16,75,NaN,NaN,Inf
53,32,75,NaN,NaN,Inf
55,8,75,NaN,NaN,Inf
55,16,75,NaN,NaN,Inf
55,32,75,NaN,NaN,Inf
