subject,cond_a,cond_b,n_total,nll_full,bic_full,k_a_full,d_a_full,k_b_full,d_b_full,nll_A,bic_A,k_A,d_a_A,d_b_A,nll_B,bic_B,k_a_B,k_b_B,d_B
1,8,16,150,666.960091104409,1353.9627233852,3.06890784241183,1.83143310683059,1.54925092923418,2.78744246392152,667.802958816318,1350.63782351493,2.47250900837064,1.95047430580813,2.14056315401117,667.912543127544,1350.85699213738,2.68948864897623,2.4061169509138,2.01617089300683
2,8,16,150,697.672716059271,1415.38797329493,3.15364758696353,1.42116165467502,2.62262527054518,1.95924676297136,697.798963851566,1410.62983358542,2.87342285235426,1.44115774649586,1.90197964570256,699.627133124359,1414.28617213101,2.68663715651044,3.20564709218943,1.62359563885218
3,8,16,150,646.007642622911,1312.05782642221,3.90676752668832,2.14613843274297,2.72309890267077,2.0592108348757,646.506404491487,1308.04471486526,3.25722852662389,2.28701023445367,1.9365286813432,646.029946759552,1307.09179940139,3.98871555614342,2.6450829303844,2.10762469388912
5,8,16,150,800.060775101305,1620.16409137899,3.51225502205399,0.883878147566467,2.08999556005594,1.06894817435788,800.725130633326,1616.48216714894,2.65930163867169,0.890911205860332,1.0316703449124,800.68544779605,1616.40280147439,3.44717594869858,2.30340019087252,0.960841685717708
6,8,16,150,713.170795799353,1446.38413277509,6.5108271958978,1.28616118159882,3.33907644391244,1.61618938957472,714.687700200831,1444.40730628395,4.59379420568191,1.29310334663195,1.53180900819069,714.627606276937,1444.28711843616,6.36539701129329,3.82717875554316,1.40655228185916
7,8,16,150,591.904954913649,1203.85245100368,3.92707283453013,2.90793991163204,1.53956569188555,6,592.269264716747,1199.57043531578,1.57128638430544,6,5.96469883823718,592.259769767739,1199.55144541777,1.59360212890691,1.53956555555236,6
8,8,16,150,610.400320032877,1240.84318124214,3.11226974118673,3.20385083008809,1.00078389349176,6,610.659267606353,1236.35044109499,1.44314374559066,6,4.37811232385821,610.556736725632,1236.14537933355,1.80567397826846,1.23092038858042,4.98564576883571
9,8,16,150,618.426364028444,1256.89526923327,3.30027776053395,3.30811389795574,2.03756660617471,2.63695228081259,618.501177480993,1252.03426084427,2.13906224358331,4.67502798989698,2.5614824713873,618.498251463446,1252.02840880918,3.90509252433108,1.77944437523553,2.90895125033129
10,8,16,150,640.332329784428,1300.70720074524,0.958628999380308,6,1.38464460146562,3.2245945401045,640.35322502239,1295.73835592707,1.24421170330705,4.77736528507899,3.49950534737009,640.403823307914,1295.83955249812,1.49022364049675,1.03216492580672,4.08297544066581
11,8,16,150,688.626094963657,1397.2947311037,4.92812015570158,1.55658000396223,3.30514553399547,1.66467562657339,689.356750263571,1393.74540640943,4.02229613257925,1.58986550280785,1.60387570321692,688.745202954417,1392.52231179112,4.828145247929,3.42872591438015,1.60151054574203
